user,tweets,follows,,
follower1,"b'RT @Isobella35: Many FBPE cult on here tonday, denouncing their relatives, their friends and their kids for voting Brexit.  I would be more\xe2\x80\xa6'",user1,,
follower1,b'RT @MaajidNawaz: A 3 year-old was subjected to a botched genital mutilation in London. Not one successful prosecution has been brought to d\xe2\x80\xa6',user1,,
follower1,"b""RT @latimeralder: Re: 'Regulatory Alignment'\n\nDo not be fooled by the mild language.\n\n'Regulatory Alignment' = Brussels Bastards make the L\xe2\x80\xa6""",user1,,
follower1,"b'RT @LeaveMnsLeave: Nigel Farage has said he is going ""back on the road"" to campaign against the prime minister\'s Brexit plan https://t.co/K\xe2\x80\xa6'",user1,,
follower1,b'RT @MarkACollett: Over 1800 cars have been torched in Sweden since the beginning of the January. This is what multiculturalism has done to\xe2\x80\xa6',user1,,
follower1,b'RT @Northman061: @redmac10710 @StippledW When Channel 4 reported a while ago that 2/3rds of British Muslims WOULD NOT report if someone in\xe2\x80\xa6',user1,,
follower1,b'RT @DVATW: Lifting the lid on #FinsburyParkMosque and how it operates\nPlease read and RT the hell out of this!\nThis is essential education\xe2\x80\xa6',user1,,
follower1,b'RT @BeyondSimian: The government needs to challenge Islam for the political ideology it is. Just like we did once with communism we need to\xe2\x80\xa6',user1,,
follower1,"b'RT @OrwellNGoode: ""those darn white people and their...""\n\n*activates randomizer*\n\n""grocery dividers!"" https://t.co/nAqErQE7W0'",user1,,
follower1,b'RT @Talkmaster: Islam is a scourge. @nathanlean',user1,,
follower1,"b'RT @BrexitTory_: John McDonnell admits that mob violence is the best of the Labour Party movement &amp; goes on to condone ""kicking the shit"" o\xe2\x80\xa6'",user1,,
follower1,b'RT @6GorillionNotNf: There are far worse things than being called a Nazi. \n\nFor instance:\n\nLiberal\nProgressive\nCentrist\nMarxist\nCommunist\nR\xe2\x80\xa6',user1,,
follower1,"b'RT @patcondell: Some good news for a change. Should apply to all Muslims in the West. Integrate and respect our values and customs, or piss off'",user1,,
follower1,"b'RT @SoulWarrior1994: And Muslim men suggests that the shape of a young girl provokes them, and can still pretend not to think this way and\xe2\x80\xa6'",user1,,
follower1,b'@Sister_Alia Islam IS the far right',user1,,
follower1,"b'RT @BlizzardJoanna: @DVATW Radical Muslims could be considered to be the ""extreme right"".'",user1,,
follower1,"b'RT @richardahilluk: Police, Govnt, BBC narrative - anyone who criticises Islam is far right and also a terrorist - absolutely shocking http\xe2\x80\xa6'",user1,,
follower1,"b""RT @N1ckTweetz: @KreayHeffnerr @LBC @MaajidNawaz The far left are lunatics. The far right doesn't even exist in the UK. Being Anti immigrat\xe2\x80\xa6""",user1,,
follower1,b'RT @AlexNieora1: @novaramedia @AyoCaesar She is a bigot and should watch @ExMuslimTV and the lives of young people that have been destroyed\xe2\x80\xa6',user1,,
follower1,b'@Marc_Mewurdz Islam is far right',user1,,
follower1,b'RT @Marc_Mewurdz: The \xe2\x80\x98far right\xe2\x80\x99 isn\xe2\x80\x99t the problem - Islam is - Muslims soaking up welfare and raping your children you sit there to scare\xe2\x80\xa6',user1,,
follower1,b'@Newsweek ISLAM is far right',user1,,
follower1,b'Utter rubbish. ISLAM is far right https://t.co/vK81Py01CP',user1,,
follower1,"b'RT @jamesbayswater: More censorship from the evil cartel of social media giants like .@Facebook, @Twitter @Youtube. @instagram et al. \n\nJoi\xe2\x80\xa6'",user1,,
follower1,b'RT @reggie_999: The uk right now\n\nBoris Johnson makes a simile between burkas and letterboxes\n\nP.C brigade = mass hysteria\n\nImam of Didsbur\xe2\x80\xa6',user1,,
follower1,b'RT @Michael_Heaver: Compare hysteria over Boris criticism of burka to comparative radio silence over Imam \xe2\x80\x98calling for jihad\xe2\x80\x99 in mosque the\xe2\x80\xa6',user1,,
follower1,b'RT @miss9afi: -What is advantage of taking memorial photos in #Niqab .\nBlack magic is needed to find herself afterward!!!\n\n-Quelle est l\xe2\x80\x99av\xe2\x80\xa6',user1,,
follower1,"b'RT @SoulWarrior1994: Meanwhile, Europe accepts refugees from Third World countries who do not realize they are committing suicide!\n\nAnd tur\xe2\x80\xa6'",user1,,
follower1,b'RT @sha_sxrya: the people in power in islamic countries are the biggest scams to ever exist.',user1,,
follower1,"b""RT @potkazar: Germany is harbouring Islamic State torturers!\n'I met my IS captor on a German street'https://t.co/QIpGZpm7I8""",user1,,
follower1,b'RT @WarPlanPurple: It seems that @BorisJohnson has won his burka argument by being eminently British. We do not have to pander to Islamic e\xe2\x80\xa6',user1,,
follower1,"b'RT @miss9afi: - Pakistan is a threat to the int. community more than North Korea, because it has both, radical Islamists and the nuclear bo\xe2\x80\xa6'",user1,,
follower1,"b'@HawreUzery @guardian Not as silly as misogynist homophobic, aggressive hateful Islam'",user1,,
follower1,b'RT @SoulWarrior1994: Finally the true color of a Muslim is alive! https://t.co/tRwpbq9NvM',user1,,
follower1,"b'RT @SoulWarrior1994: When a tragedy occurs for a woman or a religious minority in a Muslim country, people rush to cover it or show us how\xe2\x80\xa6'",user1,,
follower1,"b'RT @RealitySmash: Scientists have released a picture of what they believe Muhammad, the messenger of Islam, would look like if he were aliv\xe2\x80\xa6'",user1,,
follower1,"b'@IslamicTongue Only murder, hate, aggression, misogyny, homophobia and paedophilia'",user1,,
follower1,b'We\xe2\x80\x99ve let in far right Islam so it\xe2\x80\x99s alteady happening. https://t.co/rlvILlRlIG',user1,,
follower1,b'RT @spikedonline: \xe2\x80\x9cWhy does one awful killing by a white supremacist in Charlottesville agitate leftists more than the 450 killings by Islam\xe2\x80\xa6',user1,,
follower1,b'That\xe2\x80\x99s a lot of words to say: \xe2\x80\x98\xe2\x80\x99I\xe2\x80\x99m an anti sSemitic Islamofascist authoritarian cunt\xe2\x80\x99 https://t.co/98cgllwDo9',user1,,
follower1,b'RT @RajivMessage: Leftists have infiltrated like termites https://t.co/DAYH4d8oJA',user1,,
follower1,"b'RT @AlexNieora1: People who have actually lived under Islamic regimes, vs grandstanding delusional brainwashed Westerners. #SaturdayMorning\xe2\x80\xa6'",user1,,
follower1,"b""RT @TarekFatah: Multiculturalism in Canada. \nDon't let it spook you; you'll be accused of 'racism' and 'Islamophobia' by Antifa and the Isl\xe2\x80\xa6""",user1,,
follower1,b'RT @AlertEnemy221b: The #Mothers Case\n\nThis Monday the 20th of August \n\nMothers #Against Radical Islam And #Sharia \n\nWill be #Marching from\xe2\x80\xa6',user1,,
follower1,b'RT @FeistyRealist: MARIAS (Mothers Against Radical Islam And Sharia) March led by @DICS131294 on Monday August 20th 2018. Where to meet and\xe2\x80\xa6',user1,,
follower1,b'RT @netanyahu: The laying of a wreath by Jeremy Corbyn on the graves of the terrorist who perpetrated the Munich massacre and his compariso\xe2\x80\xa6',user1,,
