user,tweets,labels,follows
user1,"b""@theresa_may U are a complete bitch an a sell out what part of no deal don't u understand ? All u are doing is rena\xe2\x80\xa6 https://t.co/AmWXRkljOX""",1,following1
user1,"b'RT @NadineDorries: So, it\xe2\x80\x99s true. Barnier and EU pushing us to no deal. It\xe2\x80\x99s not Leavers who want this, it\xe2\x80\x99s the EU. \n\nEveryone may as well\xe2\x80\xa6'",4,following1
user1,"b""@theresa_may @10DowningStreet Why do u never celebrate st George's day?? An why didn't u cover the 100th anniversar\xe2\x80\xa6 https://t.co/vZZ0N5sXVg""",4,following1
user1,"b""@Anna_Soubry @theresa_may @sarahwollaston @BBCr4today Fuck off what bit about leave don't u understand ??""",1,following1
user1,"b'RT @RealitySmash: The left want this video of Muslims doing some peaceful muslimming in Sheffield, UK removed because it shows Islam in a b\xe2\x80\xa6'",0,following1
user1,b'@theresa_may Free Tommy Robinson now u an ur government are a shame to our people stop the grooming gangs get the m\xe2\x80\xa6 https://t.co/725b2BwFwx',1,following1
user1,"b'RT @AMike4761: Muslim refugees to the British people \xe2\x80\x9cwe do not accept British laws, you adopt our Sharia Laws\xe2\x80\x9d!  The longer we take to dea\xe2\x80\xa6'",0,following1
user1,b'@Gareth91882603 Absolutely shocking',4,following1
user1,"b""RT @Gareth91882603: CPS in Telford tell Fathers there won't be any action against Pakistani Rape Gangs who  Groomed /Raped his Daughter at\xe2\x80\xa6""",2,following1
user1,b'@2tweetaboutit Fucking scum',1,following1
user1,"b'RT @2tweetaboutit: ""The enemy within: Muslim Mayor of London, Sadiq Khan, refuses to support  ban of Hezbollah terror group, says he must c\xe2\x80\xa6'",3,following1
user1,b'RT @kazmc39: Have spoken with this butchers and they confirm they don\xe2\x80\x99t sell halal/kosher (stunned or temporarily stunned) so deserve our s\xe2\x80\xa6',0,following1
user1,b'@TRobinsonOnline What a fucking disgrace that guy is pussy covering his face up he needs to fuck off out of the UK',1,following1
user1,b'@WestmonsterUK It just proves the British people are more about common sense an been  realists',4,following1
user1,b'RT @Graham_British: \xf0\x9f\x87\xac\xf0\x9f\x87\xa7@ForBritainParty \xf0\x9f\x94\xb1\n\nChange is on the way @theresa_may @jeremycorbyn no longer will we allow our Parliament to be used\xe2\x80\xa6',4,following1
user1,b'@Jacob_Rees_Mogg People are at the end of their tether with all this nonsense an shit talking just leave now no dea\xe2\x80\xa6 https://t.co/JdDw6qGwtP',1,following1
